2013-10-23 00:01:31 Warning: Warning (512): Cache not configured properly. Please check Cache::config(); in APP/config/core.php in [CORE/cake/libs/configure.php, line 663]
2013-10-23 00:01:31 Warning: Warning (2): array_merge() [http://php.net/function.array-merge]: Argument #1 is not an array in [CORE/cake/libs/configure.php, line 684]
2013-10-23 00:01:31 Warning: Warning (2): array_merge() [http://php.net/function.array-merge]: Argument #1 is not an array in [CORE/cake/libs/configure.php, line 691]
2013-10-23 00:05:46 Warning: Warning (512): Cache not configured properly. Please check Cache::config(); in APP/config/core.php in [CORE/cake/libs/configure.php, line 663]
2013-10-23 00:05:46 Warning: Warning (2): array_merge() [http://php.net/function.array-merge]: Argument #1 is not an array in [CORE/cake/libs/configure.php, line 684]
2013-10-23 00:05:46 Warning: Warning (2): array_merge() [http://php.net/function.array-merge]: Argument #1 is not an array in [CORE/cake/libs/configure.php, line 691]
2013-10-23 00:05:46 Warning: Warning (2): mysql_connect() [http://php.net/function.mysql-connect]: Access denied for user 'lino'@'localhost' (using password: YES) in [CORE/cake/libs/model/datasources/dbo/dbo_mysql.php, line 374]
2013-10-23 00:11:55 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:12:32 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:13:36 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:13:44 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:14:10 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:16:02 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:22:28 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:22:29 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [APP/controllers/notes_controller.php, line 30]
2013-10-23 00:22:29 Warning: Warning (2): date() [http://php.net/function.date]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [APP/controllers/notes_controller.php, line 30]
2013-10-23 00:23:01 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:23:23 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:25:13 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:25:14 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [APP/controllers/notes_controller.php, line 30]
2013-10-23 00:25:14 Warning: Warning (2): date() [http://php.net/function.date]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [APP/controllers/notes_controller.php, line 30]
2013-10-23 00:26:29 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [CORE/cake/libs/cache.php, line 429]
2013-10-23 00:26:29 Warning: Warning (2): strtotime() [http://php.net/function.strtotime]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [APP/controllers/notes_controller.php, line 30]
2013-10-23 00:26:29 Warning: Warning (2): date() [http://php.net/function.date]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'UTC' for 'UTC/0.0/no DST' instead in [APP/controllers/notes_controller.php, line 30]
